GIVE_UNIT_COMMAND_BUTTON;Командование войсками;x
GIVE_UNIT_COMMANDTITLE;Командование войсками;x
GIVE_UNIT_COMMAND_DESC;Во время совместного ведения войны, владелец сателлита может взять командование ее армией на себя.;x
GIVE_UNIT_COMMAND_OK;Попросить сателлита предоставить контроль над их войсками.;x
GIVE_UNIT_COMMAND_CANT_CONTROL;Вы можете командовать войсками ваших §Yсателлитов§! только когда вы воюете вместе.;x
GIVE_UNIT_COMMAND_ALREADY_CONTROL;Их подразделения уже контролируются вами.;x
CANCEL_UNIT_COMMAND_BUTTON;Вернуть войска;x
CANCEL_UNIT_COMMANDTITLE;Вернуть войска;x
CANCEL_UNIT_COMMAND_DESC;Вернуть войска;x
CANCEL_UNIT_COMMAND_OK;Вернуть их войска.;x
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;Вы не командуете этими войсками.;x
cut_down_to_size_boxer_setup;Заставить Китай заплатить за преступления боксеров.;x
cut_down_to_size_boxer_short;Заставить Китай заплатить за преступления боксеров.;x
LACK_OF_MAINTENANCE_GOODS;Нехватка припасов;x
AIREASON_TOO_MANY_CRISIS_WARGOALS;Добавленные цели войны;x
AIREASON_NOT_OVERLORD;Не мой повелитель;x
EVTNAME36230;Покупка белых медведей;x
EVTDESC36230;Ян Майен хочет купить у нас всех белых медведей по хорошей цене. Они обещают ухаживать за ними с заботой и уважением, полагающимся этим величественным животным.;x
EVTOPTA36230;ОК!;x
EVTOPTB36230;Никогда!;x
EVTNAME36231;Покупка белых медведей — Дания соглашается;x
EVTDESC36231;Дания согласилась продать нам всех своих белых медведей.;x
EVTOPTA36231;Прекрасно!;x
EVTNAME36232;Покупка белых медведей — Дания отказывается;x
EVTDESC36232;Дания отказалась продавать нам белых медведей.;x
EVTOPTA36232;О нет!;x
the_greenland_purchase_title;Покупка белых медведей;x
the_greenland_purchase_desc;Долгое время жителей Великого Ян Майена беспокоил тот факт, что белые медведи не объединены под одним флагом. Мы должны сблизиться с Данией и попросить их продать нам часть их медведей.;x
bears;Медведи;x
polar_bears;Белые медведи;x
INFLUENCE_SPHERE_NEIGHBOUR;Соседняя страна в сфере;x
col_liferate_techs;Исследовав эти технологии, вы сможете уменьшить минимальный уровень жизни:;x
unite_moldavia_wallachia_title;Союз Молдавии и Валахии!;x
unite_moldavia_wallachia_desc;Народы Молдавии и Валахии решили объединиться и сформировать Румынию!;x
SOIS_HAS_REBELS_WARNING;Повстанцы восстали в странах, находящихся в нашей сфере §Y$LIST$§!;x
ALLIANCE_INVALID_GPS_IN_CRISIS;Союз §Ytwo Great Powers§! не может быть заключен, пока §Ycrisis§! активен.;x
BP_TOOL_ARROW_MEDIUM_1_DASHED;Средняя пунктирная стрелка 1;x
BP_TOOL_ARROW_MEDIUM_2_DASHED;Средняя пунктирная стрелка 2;x
BP_TOOL_ARROW_MEDIUM_3_DASHED;Средняя пунктирная стрелка 2;x
BP_TOOL_ARROW_THICK_DASHED;Толстая пунктирная стрелка;x
BP_TOOL_ARROW_SLIM_DASHED;Тонкая пунктирная стрелка;x
BP_OPEN_TOOLTIP;Открыть/Закрыть редактор военных планов.;x
BP_TOGGLE_TOOLTIP;Показать/Скрыть активные военные планы.;x
EVTOPTC23212;Колонизированная комета станет прекрасным спутником!;x
liberate_liberia_title;Освободить Либерию;x
liberate_liberia_desc;Свободное, суверенное и независимое государство, называемое Республикой Либерия было провозглашено Джозефом Дженкинсом Робертсом. Оно управляется из соседнего Сьерра-Леоне и рассматривается Содружеством и его родительской организацией Американским Колонизационнвм Сообществом (АКО) как «частная собственность», которая не может стать суверенной страной. Тем не менее, процесс оформления независимости продолжается. Хотя суверенитет Либерии был подтвержден Правительством Соединенных Штатов, официальное признание новая республика получила только во время Гражданской войны.;x
liberian_constitution_title;Конституция Либерии;x
liberian_constitution_desc;Страна, которая несколько лет назад была всего лишь колонией, выросла в размерах и стала достаточно сильной, чтобы стать свободным, суверенным и независимым государством. Проект новой Конституции готов быть представленным на референдуме. Она гарантирует базовые гражданские права и разделение власти, похожие на аналогичные в США, но отделяющие новую страну от правительства Америки.;x
liberian_research_boost;Бонус к исследованиям Либерии;x
desc_liberian_research_boost;Мы наслаждаемся всеми плюсами независимости, а наш научный прогресс ускорился на пути к Современности.;x
form_scandinavia_NEWS_LONG;Земли Севера объединились, чтобы создать новую нацию — Скандинавия. Толпа преимущественно светловолосых мужчин и женщин заполонила главную площадь Стокгольма в 5 часов ночи и кричала об утверждении нового государственного порядка. Аплодисменты и кивания в знак согласия были обыкновенны в этот день и с приближением вечера все учащались. Город опустел в 9 часов утра по приказу властей. Полиция сообщает, что человек, прокричавший «Слава Скандинавии!» вне дома, был отпущен без всякого наказания.;x
form_scandinavia_NEWS_MEDIUM;Земли Севера объединились, чтобы создать новую нацию — Скандинавия. Толпа преимущественно светловолосых мужчин и женщин заполонила главную площадь Стокгольма в 5 часов ночи и кричала об утверждении нового государственного порядка.;x
form_scandinavia_NEWS_SHORT;Земли Севера объединились, чтобы создать новую нацию — Скандинавия. Толпа преимущественно светловолосых мужчин и женщин заполонила главную площадь Стокгольма в 5 часов ночи и кричала об утверждении нового государственного порядка.;x
form_germany_NEWS_LONG;Земли и люди Германии наконец-то объединились. На церемонии в Берлине в понедельник новая нация была объявлена улюлюканьем толпы и криками «Ура!» Германские националистические настроения начали нарастать после Наполеоновских войн, и многие государственные деятели считали эту идею нереализуемой. Однако, дипломаты были в страхе, когда поняли, что новый Левиафан способен нарушить баланс сил в мире, а его демографическая и промышленная мощь могла стать причиной войны за контроль над Европой.;x
form_germany_NEWS_MEDIUM;Земли и люди Германии наконец-то объединились. На церемонии в Берлине в понедельник новая нация была объявлена улюлюканьем толпы и криками «Ура!» Германские националистические настроения начали нарастать после Наполеоновских войн, и многие государственные деятели считали эту идею нереализуемой. Однако, дипломаты были в страхе, когда поняли, что новый Левиафан способен нарушить баланс сил в мире, а его демографическая и промышленная мощь могла стать причиной войны.;x
form_germany_NEWS_SHORT;Земли и люди Германии наконец-то объединились. На церемонии в Берлине в понедельник новая нация была объявлена улюлюканьем толпы и криками «Ура!»;x
form_italy_NEWS_LONG;Италия была объединена. Новая страна была образована после того, как шумная толпа единогласна потребовала объединения страны. Политики прислушались к гласу народа и страна стала единой. Многие забеспокоились, что страна может потребовать возвращения территорий, считающихся истинно Итальянскими, хотя бывалые политики головорят, что у новой нации пока нет достаточных сил, чтобы угрожать соседям. «Мы вернем то. что наше по праву! Слава Италии!» — прокричал человек в сложенную в трубку газету.;x
form_italy_NEWS_MEDIUM;Италия была объединена. Новая страна была образована после того, как шумная толпа единогласна потребовала объединения страны. Политики прислушались к гласу народа и страна стала единой. Многие забеспокоились, что страна может потребовать возвращения территорий, считающихся истинно Итальянскими, хотя бывалые политики головорят, что у новой нации пока нет достаточных сил, чтобы угрожать соседям. «Мы вернем то. что наше по праву! Слава Италии!» — прокричал человек в сложенную в трубку газету.;x
form_italy_NEWS_SHORT;Наконец-то Италия едина. «Итальянский народ вернет то, что принадлежит ему по праву! Слаа Италии!» — прокричал усатый велосипедист в свернутую в трубку газету.;x
the_meiji_restoration_NEWS_LONG;Усиление западного влияния в Японии достигло своего апогея. Феодальная система, контролировавшая острова веками, была свержена, и Империя с центром в Токио была восстановлена. Новая эра социальных, политических и экономических реформ была провозглашена в воскресенье. Сегодня Сегун отказался от своей власти и эпоха Мэйдзи (просветленное правление) вступила в свои права. Светлое будущее несомненно ожидает землю восходящего солнца под властью нового правительства, хотя некоторые люди считают, что новая Япония не сможет конкурировать с европейскими державами в Азии.;x
the_meiji_restoration_NEWS_MEDIUM;Усиление западного влияния в Японии достигло своего апогея. Феодальная система, контролировавшая острова веками, была свержена, и Империя с центром в Токио была восстановлена. Новая эра социальных, политических и экономических реформ была провозглашена в воскресенье. Сегодня Сегун отказался от своей власти и эпоха Мэйдзи (просветленное правление) вступила в свои права. Светлое будущее несомненно ожидает землю восходящего солнца под властью нового правительства, хотя некоторые люди считают, что новая Япония не сможет конкурировать с европейскими державами в Азии.;x
the_meiji_restoration_NEWS_SHORT;Усиление западного влияния в Японии достигло своего апогея. Старая феодальная система была свернута, и Империя с центром в Токио была восстановлена. Начинается эпоха Мэйдзи (просвещенное правление).;x
kiel_canal_NEWS_LONG;Комбинация коммерческих и морских идей привела $TAG0_0$ к идее постройки ворот, которые позволят суднам путешествовать путешествовать между Балтийским и Северным морями без необходимости плыть через бурные моря вокруг Ютландии. Многие ожидают, что канал длиной в 61 милю быстро станет одним из самых популярных искусственным водным путем в мире. Проект предлагает новый импульс коммерции для всех морскхи держав, и подтверждает, что величие нации может быть заслужено производством, торговлей и инженерией, а не войной и завоеваниями.;x
kiel_canal_NEWS_MEDIUM;Многие ожидают, что канал длиной в 61 милю быстро станет одним из самых популярных искусственным водным путем в мире. Проект предлагает новый импульс коммерции для всех морскхи держав, и подтверждает, что величие нации может быть заслужено производством, торговлей и инженерией, а не войной и завоеваниями.;x
kiel_canal_NEWS_SHORT;Многие ожидают, что Кильский канал длиной в 61 милю быстро станет одним из самых популярных искусственным водным путем в мире. Проект предлагает новый импульс коммерции для всех морскхи держав, и подтверждает, что величие нации может быть заслужено производством, торговлей и инженерией, а не войной и завоеваниями.;x
suez_canal_NEWS_LONG;Это день триумфа для $TAG0_0$, поскольку первый корабль в истории успешно проплыл через Суэцкий перешеек с помощью нового канала. Настоящее чудо инженерии, длиной 102 мили и глубиной в 26 футов Суэцкий канал ожидается стать одним из наиболее активных судоходных путей, устраняющим необходимость в трате огромных денег и времени на путешествие вокруг Африки. «Плата за пересечение канала никогда не вернет денег, затраченных на постройку канала, а путь вокруг Африки останется доминирующим» — говорят скептики в попытке преуменьшить важность этого канала.;x
suez_canal_NEWS_MEDIUM;Это день триумфа для $TAG0_0$, поскольку первый корабль в истории успешно проплыл через Суэцкий перешеек с помощью нового канала. Настоящее чудо инженерии, длиной 102 мили и глубиной в 26 футов Суэцкий канал ожидается стать одним из наиболее активных судоходных путей, устраняющим необходимость в трате огромных денег и времени на путешествие вокруг Африки.;x
suez_canal_NEWS_SHORT;Это день триумфа для $TAG0_0$, поскольку первый корабль в истории успешно прошел через Суэцкий перешеек с помщью нового канала длиной в 102 мили и глубиной в 26 футов.;x
panama_canal_NEWS_LONG;День открытия канала через Панамский перешеек — день гордости $TAG0_0$. Длина канала 48 миль, и, на самом деле, это закрытый шлюз глубиной 85 футов ниже уровня моря со сложными люками на обоих концах. Он был построен в одной из самых «болезненных» территорий планеты, поэтому это не столько памятник инженерии, сколько памятник медицины. Канал должен быстро стать важным дополнением к международной морской торговле, а эксперты говорят, что обладатель канала будет иметь большое стратегическое преимущество.;x
panama_canal_NEWS_MEDIUM;День открытия канала через Панамский перешеек — день гордости $TAG0_0$. Длина канала 48 миль, и, на самом деле, это закрытый шлюз глубиной 85 футов ниже уровня моря со сложными люками на обоих концах. Он был построен в одной из самых «болезненных» территорий планеты, поэтому это не столько памятник инженерии, сколько памятник медицины.;x
panama_canal_NEWS_SHORT;День открытия канала через Панамский перешеек — день гордости $TAG0_0$. Длина канала 48 миль, и, на самом деле, это закрытый шлюз глубиной 85 футов ниже уровня моря со сложными люками на обоих концах.;x
empress_of_india_NEWS_LONG;В продолжение «Имперского Дурбара» в Дели, королевская прокламация, объявляющая о получении королевой Викторией титула «Императрица Индии», была прочитана на колонне на Трафальгарской площади. Индия не имела коронованного правителя с тех пор, как Империя Великих Моголов была вытеснена Британской Ост-Индской Компанией. После роспуска Компании, были высказаны мнения о том, что власть Королевы над многими индийскими князьями должна быть подтверждена императорским титулом. Премьер-министр Беджамин Дизраэли считается автором этой идеи.;x
empress_of_india_NEWS_MEDIUM;В продолжение «Имперского Дурбара» в Дели, королевская прокламация, объявляющая о получении королевой Викторией титула «Императрица Индии», была прочитана на колонне на Трафальгарской площади. Индия не имела коронованного правителя с тех пор, как Империя Великих Моголов была вытеснена Британской Ост-Индской Компанией. После роспуска Компании, были высказаны мнения о том, что власть Королевы над многими индийскими князьями должна быть подтверждена императорским титулом.;x
empress_of_india_NEWS_SHORT;В продолжение официального «Императорского Дурбара» (собрания) в Дели, королевская прокломация получения Королевой Викторией титула «Императрицы Индии» была прочитана на Трафальгарской площади.;x
COUNTRYALERT_ColonialGood_invest;§GМы можем инвестировать в нашу колонию в §!§Y$REGION$§!;x
aar_fake1_title;Кэтмен!;x
aar_fake1;Недавно в нашей столице видели как в одиночку сражался с преступностью человек, прозванный «Кэтменом» за его стилизованный под кота костюм.;x
aar_fake2_title;Смерть Гаусса;x
aar_fake2;"Вчера умер знаменитый немецкий математик Карл Фридрих Гаусс. Математики будут помнить его в течении многих столетий. Он называл математику ""Королевой наук"".";x
aar_fake3_title;Ответственное правительство!;x
aar_fake3;В 1848 году первое Ответственное правительство Британской Северной Америки было создано в колонии Новая Шотландия, ее возглавили Джеймс Юник и Джозеф Хоу.;x
