;;X
FRA_liberal;Республиканцы;X
FRA_liberal_2;Либеральный союз;X
FRA_liberal_3;Республиканские либералы;X
FRA_conservative;Умеренные республиканцы;X
FRA_conservative_2;Умеренные республиканцы;X
FRA_conservative_3;Бонапартисты;X
FRA_conservative_4;Орлеанисты;X
FRA_conservative_5;Роялисты;X
FRA_fascist;Франсистская партия;X
FRA_reactionary_2;Правые националисты;X
FRA_anarcho_liberal;Радикальная Республиканская;X
SWI_fascist;Национальный фронт;X
PNJ_absolute_monarchy;Империя Сикхов;X
PNJ_prussian_constitutionalism;Империя Сикхов;X
