;X
debt_law;Долговой закон;X
serfdom;Крепостное право;X
serfdom_l;Крепостное право;X
serfdom_desc;Крепостные привязаны к земле, подчиняются воле ее владельца и вынуждены работать на полях при феодальной системе.;X
movement_serfdom;Лига сторонников крепостничества;X
peonage;Батрачество;X
peonage_l;Батрачество;X
peonage_desc;Пеонаж - это долговая система, при которой должник вынужден отрабатывать свой долг. Это часто приводит к вечному циклу принудительного труда, называемому батрачеством.;X
movement_peonage;Кампания за отмену крепостного права;X
debtors_prisons;Тюрьмы должников;X
debtors_prisons_l;Тюрьмы должников;X
debtors_prisons_desc;Должники содержатся в тюрьме до тех пор, пока их долг не будет погашен.\n§R Конверсия всех групп населения незначительно замедлится.§W;X
movement_debtors_prisons;Движение за отмену батрачества;X
bankruptcy;Банкротство;X
bankruptcy_l;Банкротство;X
bankruptcy_desc;Должникам разрешается объявить о банкротстве и признать их предыдущие долги недействительными.;X
movement_bankruptcy;Движение за отмену тюрем должников;X
POP_CON_CLERGY;Священники;X
clergymen;Священники;X
promote_clergymen;Поддержка священников;X
land_attack_modifier;Атака сухопутных армий;X
BUDGET_TAX_RICH;Налоги (Богатые);X
BUDGET_TAX_MIDDLE;Налоги (Средние);X
BUDGET_TAX_POOR;Taxes (Бедные);X
fuel_refinery;Нефтеперерабатывающий завод;X
fuel_refinery_desc;Нефтеперерабатывающий завод - это промышленное предприятие, на котором сырая нефть перерабатывается в более полезные продукты, такие как нефтяная нафта, бензин, дизельное топливо, асфальтобетонная основа, топочный мазут, керосин и сжиженный нефтяной газ. На нефтеперерабатывающем заводе сырая нефть разделяется на фракции путем фракционной перегонки. Фракции в верхней части ректификационной колонны имеют более низкие температуры кипения, чем фракции в нижней части. Тяжелые донные фракции часто измельчаются в более легкие и полезные продукты. Все фракции подвергаются дальнейшей переработке на других установках рафинирования.;X
pharmaceuticals;Фармацевтика;X
pharmaceuticals_desc;Развитие медицины привело к разработке надлежащих фармацевтических препаратов, особенно тех, которые используют опиаты, в качестве метода лечения, заменяющего более традиционные методы.;X
pharmaceutical_plant;Фармацевтическая фабрика;X
pharmaceutical_plant_desc;Эта фабрика создает современные лекарства, синтезируя новые химические соединения из опия.;X
cigarettes;Сигареты;X
cigarette_factory;Сигаретная фабрика;X
cigarette_factory_desc;Эта фабрика заворачивает табачные листья в бумагу для изготовления сигарет.;X
tea_leaves;Чайные листья;X
tea_packaging_factory;Чае-упоковочная фабрика;X
tea_packaging_factory_desc;На этой фабрике сушат чайные листья и фасуют их в пакеты.;X
coffee_beans;Кофейные бобы;X
coffee_packaging_factory;Кофе-упаковочная фабрика;X
coffee_packaging_factory_desc;На этой фабрике измельчают кофейные зерна и фасуют их в банки.;X
revoke_the_homestead_act_title;Отменить закон о гомстедах;X
revoke_the_homestead_act_desc;Это устранит ограничения на миграцию на запад и иммиграцию в Хоумстед-провинцию из всех провинций и вновь позволит иммигрантам селиться на Востоке и юге Соединенных Штатов..;X
adding_cores;Национализация\n§WЕсли никто не оккупирует или она не сменит владельца 15 лет после добавления этого модификаторы, на неё будут добавлены нац. претензии, а нац. претензии других стран будут удалены.;X
zadd_cores_title;§GИнтеграция региона;X
zadd_cores_desc;Модификаторы §RНациональная интеграция в процессе§b и §WНационализация§b будут добавлены для страны и выбранного региона. Когда §RНациональная интеграция в процессе§b закончится, регионы страны с модификатором §WНационализация§b станут национальными, а нац. претензии всех остальных стран будут удалены. §WНационализация§b будет прервана, если регион будет оккупирован или передан другой стране до того, как §RНационализация§b закончится.;X
zprovince_migration_title;§GПривлечение миграции;X
diplomatic_cores;Национальная интеграция в процессе;X
zprovince_migration_desc;Дает большой бонус к миграции в целевое состояние. Это решение не увеличивает вероятность иммиграции из других стран, оно лишь перенаправляет их в выбранную провинцию. Если в провинции уровень безработицы на ДП превышает 5%, то модификатор перестанет работать в этой провинции.;X
zprovince_migration_new_world_title;§GПривлечение миграции;X
zprovince_migration_new_world_desc;Дает большой бонус к миграции в целевое состояние. Это решение не увеличивает вероятность иммиграции из других стран, оно лишь перенаправляет их в выбранную провинцию. Если в провинции уровень безработицы на ДП превышает 5%, то модификатор перестанет работать в этой провинции.;X
zstate_colonial_policy_title;§GИзменить колониальную политику;X
colonial_migration;Колониальная миграция;X
province_selector;Выбор провинции;X
university;Университет;X
farmland;Расширение фермы;X
mines;Расширение шахты;X
government_mobilization;Правительственная мобилизация;X
humanistic_psychology;Гуманизм;X
