EVTNAME5002;Кубок Стэнли;X
EVTDESC5002;Когда лорд Стэнли Престон стал генерал-губернатором этого доминиона, он очень увлекся хоккеем. В 1892 г. он приобрел этот кубок как приз для соревнований, которые сначала назывались Кубком Вызова по хоккею. Этот спортивный трофей был наградой для лучшей любительской хоккейной команды Канады.;X
EVTOPTA5002;Это может приобрести популярность...;X
EVTNAME5001;Кубок мира по футболу;X
EVTDESC5001;Уругвай принял первый Кубок мира по футболу, который имел ошеломительный успех. Хотя из Европы сумели приехать команды лишь нескольких стран, уровень футбола на кубке был очень высок. И, что важнее всего, Уругвай в финале победил Аргентину со счетом 4-2!;X
EVTOPTA5001;Слава Уругваю!;X
EVTNAME5000;Первый Кубок Футбольной ассоциации;X
EVTDESC5000;В трудной и захватывающей борьбе прошел сегодня матч за первый кубок Футбольной Ассоциации на стадионе «Кенсингтон Овал» в Лондоне. Он завершился неожиданной победой «Альбиона» из района $PROVINCENAME$ над «Куинз Парк» со счетом 1-0. «Пауки» показали отличную игру, но в итоге проиграли из-за гола Альфреда Гудвина во втором тайме.;X
EVTOPTA5000;Беднякам это понравится!;X
DEFINE_ADMIRAL_EFFECT;Будет принят на службу §Yадмирал $NAME$§W ($PER$, $BAC$).\n;X
DEFINE_GENERAL_EFFECT;Будет принят на службу §Yгенерал $NAME$§W ($PER$, $BAC$).\n;X
DO_NOT_HAVE_TECH_TRI;Еще НЕ изучена технология §Y$TECH$§W\n;X
HAVE_TECH_TRI;Изучена технология §Y$TECH$§W\n;X
NO_RAIL_YET;Мы не можем поощрить строительство железных дорог, поскольку еще не знаем, как их строить.;X
NOT_DISC_THESE_YET;Мы не можем поощрить отрасль промышленности, которая еще не создана нами.;X
WAR_WE_ACCEPT_HEADER;Министр иностранных дел сообщает;X
WAR_WE_ACCEPT_1;ВОЙНА!;X
WAR_WE_ACCEPT_2;$MONARCHTITLE$, $BADWORD$ из державы;X
WAR_WE_ACCEPT_3;$AGRESSOR$;X
WAR_WE_ACCEPT_4;объявили нам войну! Пришло время великой битвы...;X
WAR_WE_ACCEPT_5;*;X
WAR_WE_ACCEPT_6;*;X
WAR_WE_ACCEPT_LOG;Держава $AGRESSOR$ объявила нам войну!;X
WAR_WE_ACCEPT_BTN1;ОК;X
WAR_WE_ACCEPT_BTN2;ОК;X
WAR_WE_ACCEPT_BTN3;Перейти;X
WAR_WE_ACCEPT_MAP;ВОЙНА!;X
WAR_OTHER_ACCEPT_SETUP;Держава объявляет войну другой державе;X
WAR_OTHER_ACCEPT_HEADER;Министр иностранных дел сообщает;X
WAR_OTHER_ACCEPT_1;Начало войны!;X
WAR_OTHER_ACCEPT_2;$MONARCHTITLE$, держава §Y$AGRESSOR$§W;X
WAR_OTHER_ACCEPT_3;объявила войну;X
WAR_OTHER_ACCEPT_4;державе §Y$DEFENDER$§W.;X
WAR_OTHER_ACCEPT_5;*;X
WAR_OTHER_ACCEPT_6;*;X
WAR_OTHER_ACCEPT_LOG;Держава $AGRESSOR$ объявила войну державе $DEFENDER$.;X
WAR_OTHER_ACCEPT_BTN1;ОК;X
WAR_OTHER_ACCEPT_BTN2;ОК;X
WAR_OTHER_ACCEPT_BTN3;Перейти;X
DECLWAR_LIMITED;Это ограниченная война.;X
WAR_THEY_ACCEPT_SETUP;Мы объявляем войну другой державе;X
WAR_THEY_ACCEPT_HEADER;Министр иностранных дел сообщает;X
WAR_THEY_ACCEPT_1;ВОЙНА!;X
WAR_THEY_ACCEPT_2;Мы объявили войну державе;X
WAR_THEY_ACCEPT_3;$DEFENDER$.;X
WAR_THEY_ACCEPT_4;*;X
WAR_THEY_ACCEPT_5;*;X
WAR_THEY_ACCEPT_6;*;X
WAR_THEY_ACCEPT_LOG;Мы объявили войну державе $DEFENDER$.;X
WAR_THEY_ACCEPT_BTN1;ОК;X
WAR_THEY_ACCEPT_BTN2;ОК;X
WAR_THEY_ACCEPT_BTN3;Перейти;X
WAR_THEY_ACCEPT_MAP;ВОЙНА!;X
LOSE_CORE_EFFECT_2;Держава $WHO$ перестанет считать национальной провинцию $LOSE$.\n;X
INFRA_LEVEL_HERE;Уровень инфраструктуры - §Y$VAL$%§W.;X
fascist_group;Фашистские партии;X
conservative_group;Консервативные и реакционные партии;X
socialist_group;Социалистические и коммунистические партии;X
liberal_group;Либеральные и либерало-анархистские партии;X
COALITION_WIN;§Y$IDE$§W, образовав коалицию, получили $VAL$% голосов, и теперь будут формировать правительство.;X
COLONY_SUCCESS_SETUP;Мы успешно основываем новую колонию;X
COLONY_FAIL_SETUP;Нам не удается основать новую колонию;X
TOPBAR_INC_SPEED;Увеличить скорость игры;X
REMOVE_TOPBAR_DEC_SPEED;Уменьшить скорость игры;X
TOPBAR_CLOSE_OUTLINER;Закрыть планировщик;X
TOPBAR_OPEN_OUTLINER;Открыть планировщик;X
SLOWEST_SPEED;Очень низкая;X
SLOW_SPEED;Низкая;X
NORMAL_SPEED;Средняя;X
FAST_SPEED;Высокая;X
FASTEST_SPEED;Очень высокая;X
TOPBAR_DATE;Это текущая дата игры\n(нажмите для постановки паузы);X
TOPBAR_DATE_IS_PAUSED;Это текущая дата игры\n(нажмите для снятия паузы);X
TOPBAR_PAUSE_INDICATOR;Игра сейчас стоит на паузе.;X
TOPBAR_SPEED_INDICATOR;Скорость игры - §Y$SPEED$§W;X
PLAYER_COUNTRY_TOPBAR_RANK;$NAME$ - §Y$RANK$§W;X
HAS_TECH_SCHOOL;Технологическая школа - §Y$TECH$§W\n;X
HAS_NOT_TECH_SCHOOL;Технологическая школа - не §Y$TECH$§W\n;X
NEW_CORE_EFFECT_TAG;Для державы $TAG$ §Yвсе§W провинции станут национальными.\n;X
ANY_OWNED_LIMITED;Для любой провинции, такой что\n;X
TECH_MINE_SIZE;Размер шахт;X
TECH_FARM_SIZE;Размер ферм;X
USA_absolute_monarchy;Американская Империя;X
USA_absolute_monarchy_ADJ;Американ.;X
USA_hms_government;САСК;X
USA_hms_government_ADJ;Американ.;X
USA_proletarian_dictatorship;СНША;X
USA_proletarian_dictatorship_ADJ;Американ.;X
ENG_proletarian_dictatorship;БСФСР;X
GER_proletarian_dictatorship;ГДР;X
ENG_proletarian_dictatorship_ADJ;Британск.;X
BOH_democracy;Чехия;X
BOH_democracy_ADJ;Чешск.;X
TUR_democracy;Турция;X
TUR_democracy_ADJ;Турецк.;X
KUK_democracy;Дунайская Федерация;X
KUK_democracy_ADJ;Дунайск.;X
BAV_proletarian_dictatorship;Баварская Советская Республика;X
RUS_proletarian_dictatorship;Советский Союз;X
CHU_proletarian_dictatorship;Китайская Народная Республика;X
CHU_social_republic;Китайская Республика;X
CHU_democracy;Китайская Республика;X
CHU_absolute_monarchy;Китайская Империя;X
CHU;Китай;X
CHU_ADJ;Китайск.;X
RUS_proletarian_dictatorship_ADJ;Советск.;X
NO_TECH_SELECTED;Ничего не выбрано;X
IS_CIVILIZED;Является цивилизованным государством;X
IS_NOT_CIVILIZED;Не является цивилизованным государством;X
IS_INDEP;Не находится под иностранным влиянием\n;X
IS_NOT_INDEP;Находится под иностранным влиянием\n;X
ELECTION_INFO_IN_GOV;Ведется избирательная кампания.;X
REGIMENT_POP_NAME;$NUM$-я бригада ($POP$);X
REGIMENT_HOME_NAME;$NUM$-я бригада пров. $HOME$;X
SUBUNIT_POP;$TYPE$ (§Y$CULTURE$§W) из провинции §Y$LOCATION$§W.;X
army_tech_research_bonus;Исследования в армии;X
commerce_tech_research_bonus;Исследования в коммерции;X
culture_tech_research_bonus;Исследования в культуре;X
industry_tech_research_bonus;Исследования в промышленности;X
navy_tech_research_bonus;Исследования во флоте;X
THERE_ARE_BACKING;§Y$VAL$§W населения желает этой реформы.;X
ORG_EXPLANATION_TT;Чем выше это значение, тем сильнее будут становиться повстанцы.;X
COLONIAL_MIGRATION_TECH;Колониальная миграция;X
COMBAT_WIDTH_TECH;Ширина фронта;X
PLURALITY_EXPLANATION;Плюрализм - средний уровень сознательности нашей державы. Воспоминания о прошлых победах и поражениях во имя свободы говорят нашему народу о том, что могло бы быть.;X
REMOVE_REVANCHISM_EXPLANATION;убрано;X
GAIN_PROVINCE;От державы §Y$WHO$§W будет получена провинция §Y$WHERE$§W.\n;X
build_kiel_canal_title;Постройка Кильского канала;X
build_kiel_canal_desc;Постройка канала между Балтийским и Северным морями принесет огромную пользу нашему судоходству. Мы можем построить такой канал в Киле.;X
build_suez_canal_title;Постройка Суэцкого канала;X
build_suez_canal_desc;Одной из давних проблем для торговых плаваний на Дальний Восток и в Индию была необходимость огибать Африку. Постройка канала через Суэц сократит путь в Азию на многие дни и станет выдающимся достижением современной инженерной мысли.;X
build_panama_canal_title;Постройка Панамского канала;X
build_panama_canal_desc;Первые предложения о постройке канала через Панамский перешеек восходят, вероятно, к моменту открытия этих земель. Полоса суши, соединяющая Северную и Южную Америки, уже всего именно здесь. Современное инженерное искусство позволит сократить путь между Атлантическим и Тихим океанами на много дней, если построить здесь канал.;X
REVANCHISM_LOWER;Реваншизм меньше §Y$VAL$§W\n;X
REVANSCHISM_ATLEAST;Реваншизм больше или равен §Y$VAL$§W\n;X
CANAL_1;Кильский канал;X
CANAL_2;Суэцкий канал;X
CANAL_3;Панамский канал;X
ENABLE_CANAL;Построить §Y$NAME$§W!\n;X
CANAL_NOT_ENABLED;§Y$NAME$§W еще не построен\n;X
CANAL_ENABLED;§Y$NAME$§W построен!\n;X
ADMINISTRATIVE_TAX_EFFICIENCY;Административная эффективность налогообложения: §Y$VALUE$§W%.;X
