2026-09-24 01:54:57.589 dll=4.04 via=uef pid=29200 tid=19812 code=C0000005 eip=60858D88 addr=60858D88 npar=2 p0=00000001 p1=608F228C eax=00000000 ebx=608F228C ecx=00000002 edx=00000000 esi=00000002 edi=00000002 ebp=0193D208 esp=0193D1F8
2026-09-24 01:55:26.342 dll=4.04 via=uef pid=21612 tid=32656 code=C0000005 eip=73C78D88 addr=73C78D88 npar=2 p0=00000001 p1=73D1228C eax=00000000 ebx=73D1228C ecx=00000003 edx=00000000 esi=00000003 edi=00000003 ebp=0193D360 esp=0193D350
2026-09-24 02:29:20.740 dll=4.07 via=veh pid=23324 tid=34096 code=C0000005 eip=34A62034 addr=34A62034 npar=2 p0=00000008 p1=34A62034 eax=00380021 ebx=00000000 ecx=8724E910 edx=34A62034 esi=8724E910 edi=794FEA98 ebp=0167BD24 esp=0167BB78
2026-09-24 02:29:20.742 dll=4.07 via=uef pid=23324 tid=34096 code=C0000005 eip=34A62034 addr=34A62034 npar=2 p0=00000008 p1=34A62034 eax=00380021 ebx=00000000 ecx=8724E910 edx=34A62034 esi=8724E910 edi=794FEA98 ebp=0167BD24 esp=0167BB78
2026-09-24 23:59:25.998 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=2F2DDFC0 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.001 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DD958 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.002 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DE250 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.003 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000151 eax=3BD91544 ebx=2F2DBD28 ecx=00000025 edx=00000040 esi=00000001 edi=0000000D ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.004 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.005 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.006 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.006 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.007 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DC9F8 ecx=0000001D edx=00000040 esi=00000001 edi=00000005 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.008 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000040 esi=00000001 edi=00000063 ebp=019BD7FC esp=019BD7B4
2026-09-24 23:59:26.009 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=0000014B eax=3BD91544 ebx=30DB5548 ecx=0000001F edx=00000040 esi=00000001 edi=00000007 ebp=019BD7FC esp=019BD7B4
