FE_CHECKSUMBDSM;BDSM Mod v4D7.0.XXXX (Standalone) \nОжидаемая чексумма: XXXX;X
economic_thought_level;Экономическая мысль и критика;X
ASK;Астраханское Ханство;X
ASK_ADJ;Астраханск.;X
NOG;Ногайская Орда;X
NOG_ADJ;Ногай.;X
SIB;Сибирь;X
SIB_ADJ;Сибирьск.;X
SAM;Самцхе;X
SAM_ADJ;Самцкх.;X
MAC;Македония;X
MAC_ADJ;Македонск.;X
bureaucracy_level_1;Уровень бюрократии 1;X
bureaucracy_level_2;Уровень бюрократии 2;X
bureaucracy_level_3;Уровень бюрократии 3;X
bureaucracy_level_4;Уровень бюрократии 4;X
bureaucracy_level_5;Уровень бюрократии 5;X
bureaucracy_level_6;Уровень бюрократии 6;X
bureaucracy_level_7;Уровень бюрократии 7;X
bureaucracy_level_8;Уровень бюрократии 8;X
bureaucracy_level_9;Уровень бюрократии 9;X
bureaucracy_level_10;Уровень бюрократии 10;X
bureaucracy_level_11;Уровень бюрократии 11;X
bureaucracy_level_12;Уровень бюрократии 12;X
bureaucracy_level_13;Уровень бюрократии 13;X
bureaucracy_level_14;Уровень бюрократии 14;X
bureaucracy_level;Уровень бюрократии;X
bureaucracy_level_1;1;X
bureaucracy_level_2;2;X
bureaucracy_level_3;3;X
bureaucracy_level_4;4;X
bureaucracy_level_5;5;X
bureaucracy_level_6;6;X
bureaucracy_level_7;7;X
bureaucracy_level_8;8;X
bureaucracy_level_9;9;X
bureaucracy_level_10;10;X
bureaucracy_level_11;11;X
bureaucracy_level_12;12;X
bureaucracy_level_13;13;X
bureaucracy_level_14;14;X
BREST_STATE;Брест;X
VITEBSK_STATE;Витебск;X
TEMES_STATE;Темеш;X
WEST_MACEDONIA;Западная Македония;X
ATHESIA_STATE;Афизия;X
VENICE_STATE;Венеция;X
PSV;Псков;X
PSV_ADJ;Псковск.;X
PONTUS_STATE;Понт;X
CONSTANTINOPLE_STATE;Константинополь;X
NOV;Новгород;X
NOV_ADJ;Новгородск.;X
VETLUGA_STATE;Ветлуга;X
ORYNBOR_STATE;Орынбор;X
TVER_STATE;Тверь;X
MUS;Москва;X
MUS_ADJ;Московск.;X
MUS_proletarian_dictatorship;Московская СФСР;X
MUS_social_republic;Московская ССР;X
MUS_absolute_monarchy;Московское Княжество;X
MUS_prussian_constitutionalism;Московское Княжество;X
MUS_hms_government;Московское Княжество;X
athesian;Итало-американцы;X
afro_germanic;Афро-германцы;X
haitian;Гаити;X
CONSTANTINE_STATE;Константина;X
TUGGURT_STATE;Туггурт;X
CENTRAL_SAHARA_STATE;Центральная Сахара;X
AGADIR_STATE;Агадир;X
ORAN_STATE;Оран;X
HOLSTEIN_STATE;Гольштейн;X
SCHLESWIG_STATE;Шлезвиг;X
cattle_factory;Скотоводство;X
cattle_factory_desc;Крупный рогатый скот, куры, козы, и т. д. - одна из основ сельского хозяйства.;X
coal_factory;Угольная шахта;X
coal_factory_desc;Шахта, в которой копают уголь.;X
iron_factory;Железная шахта;X
iron_factory_desc;Шахта, в которой копают железо.;X
sulphur_factory;Серная шахта;X
sulphur_factory_desc;Шахта, в которой копают серу.;X
coffee_factory;Плантация кофе;X
coffee_factory_desc;Здесь выращивают кофейные зёрна.;X
tea_factory;Плантация чая;X
tea_factory_desc;Здесь выращивают чайные листья.;X
cotton_factory;Плантация хлопка;X
cotton_factory_desc;Здесь выращивают хлопок.;X
dye_factory;Плантация красок;X
dye_factory_desc;Здесь выращивают краски.;X
opium_factory;Плантация опиума;X
opium_factory_desc;Здесь выращивают опиоиды.;X
tobacco_factory;Плантация табака;X
tobacco_factory_desc;Здесь выращивают табак.;X
rubber_factory;Плантация каучука;X
rubber_factory_desc;Здесь выращивают каучук для добычи резины.;X
silk_factory;Шёлковая плантация;X
silk_factory_desc;Здесь разводят червей-шелкопрядов.;X
fruit_factory;Фруктовые сады;X
fruit_factory_desc;Здесь выращивают фрукты.;X
grain_factory;Ферма зерна;X
grain_factory_desc;Здесь выращивают зерно;X
oil_factory;Нефтяная скважина;X
oil_factory_desc;Здесь качают нефть.;X
timber_factory;Лесозаготовки;X
timber_factory_desc;Здесь занимаются вырубкой леса.;X
tropical_wood_factory;Тропические лесозаготовки;X
tropical_wood_factory_desc;Здесь занимаются вырубкой тропического леса.;X
fishery;Рыбацкий промысел;X
fishery_desc;Здесь занимаются ловлей рыбы.;X
synthetic_nitrate_factory;Фабрика синтетических нитратов;X
synthetic_nitrate_factory_desc;Здесь производят искуственную серу.;X
croatian_compromise_dec_title;@HUNХорватский компромисс;X
croatian_compromise_dec_desc;Хорваты всё недовольны! Был предложен ряд изменений в законы, на бумаге дающий хорватам такие же права, как и венграм.;X
party_NET_fascist;Партия расовых реалистов;X
party_SWE_communist;Партия мамонтов;X
party_SPA_liberal;Партия любителей бананов;X
SLOVAKIA_STATE;Словакия;X
reclaim_croatia_dec_title;@HUNВернуть Хорватию §R+3 бесчестья§!;X
reclaim_croatia_dec_desc;Хорватия на протяжении веков была частью Венгрии. Возвращение этой отколовшейся части - важная задача.;X
1836_tech_groups_dec;Tech group;X
1836_tech_groups_dec_desc;Tech group;X
CUSTOM_TOOLTIP_MOP_INSULT;\nУменьшив отношения с §Yлюбой державой§! до §Y-100§!, мы сможем отправить ей §Rоскорбление§!\n;X
taiping;Тайпины;X
TAIPING_STATE;Тайпинь;X
CANTON_STATE;Кантон;X
net_economic_boom_pmodifier;Экономический бум;X
mop_inv;§GМинистерство внутренних дел§!;X
mop_inv_desc;Теперь мы можем создать министерство внутренних дел (решения);X
CUSTOM_TOOLTIP_INSULT1;§R;X
CUSTOM_TOOLTIP_INSULT0; §!§b обострились, с нашим подходом внешней политики мы можем публично унизить их§!;X
CUSTOM_TOOLTIP_INSULT;§RЭтой стране будет направлено оскорбление§!\n;X
EVTNAME141400;Напряженные отношения;X
EVTDESC141400;Дипломатические отношения со страной;X
EVTDESC141400_opt1;С другой стороны лучше не надо;X
EVTDESC141400_opt2;Эти мерзавцы в край обнаглели;X
EVTNAME141401;Выбор;X
EVTDESC141401;Нужно выбрать самое колкое замечание;X
EVTDESC141401_opt1;Нелестно высказаться об их матушке;X
EVTDESC141401_opt2;Пошутить про бешбермак;X
EVTDESC141401_opt3;Оскробить национальный миф;X
EVTDESC141401_opt4;Выписать социальный рейтинг;X
EVTDESC141401_opt5;Переселим их дипломатов в мазанку;X
EVTNAME141402;Оскорбление от $FROMCOUNTRY$;X
EVTDESC141402;$MONARCHTITLE$ вы случаем не консерва? Просто ваша матушка как полудохлая корова - даже после пяти бутылок кваса перебор;X
EVTDESC141402_opt;§RДа они охуели§!;X
EVTNAME141403;Оскорбление от $FROMCOUNTRY$;X
EVTDESC141403;Шайтан! Гнить тебе живьем зашитым в брюхе мертвого верблюда. Я твой бешбермак трах трах делать хайван ты грязный, а шпроты твои вообще харам;X
EVTDESC141403_opt;§RДа они охуели§!;X
EVTNAME141404;Оскорбление от $FROMCOUNTRY$;X
EVTDESC141404;Наши предки уже охотились на мамонтов, пока ваши лопали бананы за обе щеки. Ваща страна - пародия на цивилизацию. Генетическая опухоль на теле человечества, сделайте ему одолжение, сдохните в котле 0))0);X
EVTDESC141404_opt;§RДа они охуели§!;X
EVTNAME141405;Оскорбление от $FROMCOUNTRY$;X
EVTDESC141405;Вы расстроиь великий интернационал. Вы грязь уйгур. Вы лишены кошка жена и миска риса. Вы больше не читать труды маркса в нашем кружке из 3 человек. -1 000 000 социальный рейтинг;X
EVTDESC141405_opt;§RДа они охуели§!;X
EVTNAME141406;Оскорбление от $FROMCOUNTRY$;X
EVTDESC141406;Многонеуважаймый $MONARCHTITLE$, спешим уведомить вас, что переселили ваш дипломатический коорпус в мазанку. Мы ее вот так гавном промазав (рядом вертикальная черточка коричнекого цвета лукаво попахивающая известно чем) и добре, и ничего больше им не трэба, все равно ваш народ як свиньи.;X
EVTDESC141406_opt;§RДа они охуели§!;X
take_hate_speech_cmodifier;Нас оскорбили;X
give_hate_speech_cmodifier;Недавние оскорбление;X
Research_Generic_Notif_EvtName;Иностранные учёные пришли к открытию;X
Research_Generic_Notif_EvtOptA;Занятно.;X
SyntheticPolymers_Notif_EvtDesc;Держава $FROMCOUNTRY$ получила доступ к изобретению §Bсинтетические полимеры§!;X
ChemicalWeapons_Notif_EvtDesc;Держава $FROMCOUNTRY$ получила доступ к изобретению §Bхимическая атака§!;X
chemical_weapons_researched_cflag;Завершён соответствующий научный проект;X
chemical_defence_research_project_cflag;Завершён соответствующий научный проект;X
synthetic_polymers_selling_cflag;§LПродаёт синтетические полимеры§!;X
gas_attack_selling_cflag;§LПродаёт химическую атаку§!;X
gasmask_selling_cflag;§LПродаёт химическую защиту§!;X
CUSTOM_TOOLTIP_MISSING_TECH_INFILTRATION;§RОШИБКА:§! Требуется технология §Yпроникновение в тыл§! §I(армия)§!\n;X
CUSTOM_TOOLTIP_MISSING_TECH_ELECTRICITY;§RОШИБКА:§! Требуется технология §Yэлектричество§! §I(промышленность)§!\n;X
CUSTOM_TOOLTIP_MISSING_TECH_SHIFT_WORK;§RОШИБКА:§! Требуется технология §Yпосменная работа§! §I(промышленность)§!\n;X
CUSTOM_TOOLTIP_MISSING_TECH_SYNTHETIC_POLYMERS;§RОШИБКА:§! Требуется технология §Yсинтетические полимеры§! §I(промышленность)§!\n;X
CUSTOM_TOOLTIP_MISSING_TECH_CHEMICAL_WEAPONS;§RОШИБКА:§! Требуется технология §Yхимическое оружие§! §I(армия)§!\n;X
SyntheticPolymersDone_rproj_EvtDesc;Исследование проекта §Bсинтетические полимеры§! подошло к концу. В начале следующего месяца, мы получим изобретение.;X
Chemical_Weapons_Done_rproj_EvtDesc;Исследование проекта §Bприменение химических атак§! подошло к концу. В начале следующего месяца, мы получим изобретение.;X
Chemical_Defence_Done_rproj_EvtDesc;Исследование проекта §Bпротивогаз§! подошло к концу. В начале следующего месяца, мы получим изобретение.;X
SyntheticPolymers_rproj_EvtName;Синтетические полимеры;X
rproj_BuyRequest_EvtOptA;Спасибо папаша);X
research_project_cooldown;Откат: Исследовательские проекты;X
