magrib_ITA_imigration_dec_title;§B#§Y#§G#§!Итальянская северная Африка;X
magrib_ITA_imigration_dec_desc;Цель захвата Ливии - место расселения «излишков» итальянской бедноты, особенно из южных районов Италии и с Сицилии;X
magrib_FRA_imigration_dec_title;§B#§Y#§G#§!Французкая северная Африка;X
magrib_FRA_imigration_dec_desc;TODO;X
magrib_SPA_imigration_dec_title;§B#§Y#§G#§!Испанская северная Африка;X
magrib_SPA_imigration_dec_desc;TODO;X
magrib_imigration_modifier;Кампания по привлечению жизни в пустынях;X
magrib_imigration_modifier_desc;Наше государство ведет активную кампанию по привличению рабочих рук для постройки лучших песочных замков в мире;X
immigration_from_magrib_ITA_dec_title;§B#§Y#§G#§!Рабочие руки Италии;X
immigration_from_magrib_ITA_dec_desc;TODO;X
immigration_from_magrib_FRA_dec_title;§B#§Y#§G#§!Рабочие руки Франции;X
immigration_from_magrib_FRA_dec_desc;TODO;X
immigration_from_magrib_SPA_dec_title;§B#§Y#§G#§!Рабочие руки Испания;X
immigration_from_magrib_SPA_dec_desc;TODO;X
from_magrib_imigration_modifier;Кампания по привлечению иностранных спицалистов;X
from_magrib_imigration_modifier_desc;После ссылки всех бедняков в пустыни северной Африки нашей стране не хватает рабочих рук. Нам нужно вернуть ценных специалистов, нам нужны чурки;X

